id,created_at,text
1448695190827540487,2021-10-14 17:00:23+00:00,Reading #1029 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -34.
1448642333562523655,2021-10-14 13:30:21+00:00,Reading #1028 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -66.
1448483792545529859,2021-10-14 03:00:22+00:00,Reading #1027 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -99.
1448378098798538753,2021-10-13 20:00:22+00:00,Reading #1026 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -85.
1448332803440103426,2021-10-13 17:00:23+00:00,Reading #1025 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -75.
1448279954710568960,2021-10-13 13:30:23+00:00,Reading #1024 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -78.
1448121411348873221,2021-10-13 03:00:23+00:00,Reading #1023 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -40.
1448015715215237123,2021-10-12 20:00:23+00:00,Reading #1022 =&gt; Twitter's sentiment of the stock market is nuetral with a reading of -3.
1447970418153959429,2021-10-12 17:00:24+00:00,Reading #1021 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -70.
1447917569302741018,2021-10-12 13:30:24+00:00,Reading #1020 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -131.
1447759019175731201,2021-10-12 03:00:22+00:00,Reading #1019 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -87.
1447653327626543108,2021-10-11 20:00:24+00:00,Reading #1018 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -87.
1447608026790236170,2021-10-11 17:00:23+00:00,Reading #1017 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -105.
1447555176118857735,2021-10-11 13:30:22+00:00,Reading #1016 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -84.
1447396625366781955,2021-10-11 03:00:21+00:00,Reading #1015 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -55.
1447291080609763332,2021-10-10 20:00:57+00:00,Reading #1014 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -11.
1447245639780347904,2021-10-10 17:00:23+00:00,Reading #1013 =&gt; Twitter's sentiment of the stock market is nuetral with a reading of -1.
1447192791478673412,2021-10-10 13:30:23+00:00,Reading #1012 =&gt; Twitter's sentiment of the stock market is bullish with a reading of 8.
1447034237845184513,2021-10-10 03:00:21+00:00,Reading #1011 =&gt; Twitter's sentiment of the stock market is bullish with a reading of 35.
1446928545356337155,2021-10-09 20:00:22+00:00,Reading #1010 =&gt; Twitter's sentiment of the stock market is bullish with a reading of 30.
1446883251713462278,2021-10-09 17:00:23+00:00,Reading #1009 =&gt; Twitter's sentiment of the stock market is bullish with a reading of 18.
1446830397065732105,2021-10-09 13:30:22+00:00,Reading #1008 =&gt; Twitter's sentiment of the stock market is nuetral with a reading of -2.
1446671854555516928,2021-10-09 03:00:22+00:00,Reading #1007 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -29.
1446566163115352071,2021-10-08 20:00:23+00:00,Reading #1006 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -34.
1446520861964607517,2021-10-08 17:00:23+00:00,Reading #1005 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -56.
1446468009619492894,2021-10-08 13:30:22+00:00,Reading #1004 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -38.
1446309469219078145,2021-10-08 03:00:23+00:00,Reading #1003 =&gt; Twitter's sentiment of the stock market is bullish with a reading of 21.
1446203771009261573,2021-10-07 20:00:22+00:00,Reading #1002 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -22.
1446158473134231559,2021-10-07 17:00:22+00:00,Reading #1001 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -18.
1446105669405487113,2021-10-07 13:30:33+00:00,Reading #1000 =&gt; Twitter's sentiment of the stock market is nuetral with a reading of -4.
1445947077117235202,2021-10-07 03:00:22+00:00,Reading #999 =&gt; Twitter's sentiment of the stock market is bullish with a reading of 16.
1445841431986249730,2021-10-06 20:00:34+00:00,Reading #998 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -78.
1445796120773410818,2021-10-06 17:00:31+00:00,Reading #997 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -227.
1445743320152489996,2021-10-06 13:30:42+00:00,Reading #996 =&gt; Twitter's sentiment of the stock market is bearish with a reading of -126.
1445584782025363464,2021-10-06 03:00:44+00:00,Reading #995 =&gt; Twitter's sentiment of the stock market is bullish with a reading of 133.
